#|ItemCodeFG|ItemNameFG|ItemCodeRM|ItemNameRM|Supplier|Bentuk|Material|Warna Dasar|Warna Cetakan|Panjang|Lebar|Tinggi|Tebal|Tinggi Leher|Diam Dalam Mulut|Diam Luar Mulut|Diam Dalam|Diam Luar|Panjang Selang|Berat|Volume|Barcode|POM NA|Tipe|Group
20|FGBMA2003|Camellia Body Mist Cologne Seductive (Pink) 100ml|RMLPC0787|Sticker Camellia Bodymist 100ml Pink (SEDUCTIVE) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Pink|Putih, Merah, Pink, Hijau, Silver, Hitam|||||||||||0.30 - 0.50||8992832604179|18140601879||
21|FGBMA2003|Camellia Body Mist Cologne Seductive (Pink) 100ml|RMFCL0025|20mm Screw Mist Pump PINK (125mm FBOG)|YIWU SUPPLY & MARKETING IMPORT AND EXPORT CO., LTD|Silinder|PP - LDEP|Pink|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
22|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
23|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Biru|164 - 168|138 - 142|160 - 165||||||||84.60 - 86.70|||||
24|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
25|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMLPC0791|Botol Camellia Bodymist 100ml Violet|PRISKILA INJECTION|Persegi|PET|Ungu||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102||||
26|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMLPC0786|Sticker Camellia Bodymist 100ml Violet (EXOTIC) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Ungu|Putih, Ungu Tua, Biru Muda, Ungu Muda, Silver, Hitam|||||||||||0.30 - 0.50||8992832604162|18140601900||
27|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMLPC0785|Sticker Camellia Bodymist 100ml Violet (EXOTIC) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Ungu|Putih, Ungu Tua, Biru Muda, Ungu Muda, Silver, Hitam|||||||||||0.30 - 0.50||8992832604162|18140601900||
28|FGBMA2004|Camellia Body Mist Cologne Exotic (Violet) 100ml|RMFCL0023|20mm Screw Mist Pump PURPLE (125mm FBOG)|YIWU SUPPLY & MARKETING IMPORT AND EXPORT CO., LTD|Silinder|PP - LDEP|Ungu|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
29|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMLPC0838|Sticker Camellia Bodymist 100ml Yellow (HAPPY) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Kuning|Putih, Kuning Tua, Merah, Hitam, Silver|||||||||||0.30 - 0.50||8992832604315|18150601611||
30|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMLPC0837|Sticker Camellia Bodymist 100ml Yellow (HAPPY) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Kuning|Putih, Kuning Tua, Merah, Hitam, Silver|||||||||||0.30 - 0.50||8992832604315|18150601611||
31|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMLPC0833|Botol Camellia Bodymist 100ml Yellow|PRISKILA INJECTION|Persegi|PET|Kuning||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102||||
32|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
33|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Biru|164 - 168|138 - 142|160 - 165||||||||84.60 - 86.70|||||
34|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
35|FGBMA2005|Camellia Body Mist Cologne Happy (Yellow) 100ml|RMFCL0020|20mm Screw Mist Pump YELLOW (125mm FBOG)|YIWU SUPPLY & MARKETING IMPORT AND EXPORT CO., LTD|Silinder|PP - LDEP|Kuning|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
36|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMLPC0840|Sticker Camellia Bodymist 100ml Red (LOVE) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Merah|Putih, Kuning, Silver, Hitam|||||||||||0.30 - 0.50||8992832604308|18150601612||
37|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMLPC0839|Sticker Camellia Bodymist 100ml Red (LOVE) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Merah|Putih, Kuning, Silver, Hitam|||||||||||0.30 - 0.50||8992832604308|18150601612||
38|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMLPC0834|Botol Camellia Bodymist 100ml Red|PRISKILA INJECTION|Persegi|PET|Merah||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102||||
39|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
40|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Biru|164 - 168|138 - 142|160 - 165||||||||84.60 - 86.70|||||
41|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
42|FGBMA2006|Camellia Body Mist Cologne Love (Red) 100ml|RMFCL0027|20mm Screw Mist Pump RED (125mm FBOG)|YIWU SUPPLY & MARKETING IMPORT AND EXPORT CO., LTD|Silinder|PP - LDEP|Merah|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
43|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMLPC0842|Sticker Camellia Bodymist 100ml White (PURE) BACK|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Silver|Putih, Silver, Hitam|||||||||||0.30 - 0.50||8992832604285|18150601610||
44|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMLPC0841|Sticker Camellia Bodymist 100ml White (PURE) FRONT|SATYAMITRA LABELJAYA PRATAMA, PT|Persegi|PP White|Silver|Putih, Silver, Hitam|||||||||||0.30 - 0.50||8992832604285|18150601610||
45|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMLPC0835|Botol Camellia Bodymist 100ml White|PRISKILA INJECTION|Persegi|PET|Putih||49.40 - 50.40|30.50 - 31.40|122.10 - 123.20|1.62 - 1.80||14.00 - 14.60|17.60 - 20.40||||13.70 - 14.30|97 - 102||||
46|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMLPC0795|Partisi inner Camellia Bodymist/Camellia Hand Spray/Marie Jose Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|||||||||||||||||||||
47|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMLPC0794|Carton INNER Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Biru|164 - 168|138 - 142|160 - 165||||||||84.60 - 86.70|||||
48|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMLPC0793|Carton BOX Camellia Bodymist 100ml|ASIAPAPERCON INTERNUSA. PT|Balok|Kertas Karton|Coklat|Merah|430-440|345 - 355|185 - 194||||||||396.40 - 398.90|||||
49|FGBMA2007|Camellia Body Mist Cologne Pure (White) 100ml|RMFCL0131|20mm Screw Mist Pump CLEAR (125mm FBOG)|YUYAO YINHE ARTICLES CO., LTD|Silinder|PP - LDEP|Transparant Tidak Bewarna|||1.05 - 1.56||||20.00 - 20.48|21.88 - 23.40|124.00 - 128.00|5.85 - 7.35||||||
